n,d,min_feas,max_feas
1,1,0.5,0.5
1,2,1,1
1,3,1,1
2,1,0.25,0.25
2,2,0.3973070800781249,0.3973070800781249
2,3,0.5329483982609102,0.5446837264470432
3,1,0.125,0.125
3,2,0.295298913609652,0.29924221713090926
3,3,0.47243229693026456,0.4883786959975347
4,1,0.0625,0.0625
4,2,0.21943850247341667,0.22117792851356177
4,3,0.425408831495777,0.43585381392195854
5,1,0.03125,0.03125
5,2,0.1608515986590544,0.1616718357146757
5,3,0.3816285952189673,0.3883898205902405
6,1,0.015625,0.015625
6,2,0.11688179470243587,0.11726186987621556
6,3,0.34163876657959646,0.345672621974518
7,1,0.0078125,0.0078125
7,2,0.08430976229988296,0.08446176394005722
7,3,0.3043288900726533,0.30676405587128264
8,1,0.00390625,0.00390625
8,2,0.06043811337250915,0.060507396550433135
8,3,0.27168187492330065,0.27168764419933433
