t	x1	x2	x1p	x2p
0	0.5	Ê1.0	0.5	1
Ê 0.12551317110650315	Ê0.5281255141642851	Ê0.9920180931557044	Ê0.5486609579163495	Ê0.9894776423160343
Ê 0.5124615312642128	Ê0.6117842315514896	Ê0.9715326068017501	Ê0.6497340711610827	Ê0.968923056860094
Ê 1.0639937688462489	Ê0.7160378389739791	Ê0.9502587101276361	Ê0.7579548345607602	Ê0.9476483846361983
Ê 1.7632251748794578	Ê0.8139249669088106	Ê0.9322077403285031	Ê0.8619927823890471	Ê0.926293437412678
Ê 2.6579260880337703	Ê0.8877345724814167	Ê0.9183323077813977	Ê0.9082387224001118	Ê0.9156354971355405
Ê 3.547372166299604	Ê0.9234797562549666	Ê0.9107480752559378	Ê0.9353787249747468	Ê0.9084072765285998
Ê 4.629785306296877	Ê0.941884847441124	Ê0.9061039332618965	Ê0.9464474678362428	Ê0.9049082721222603
Ê 5.8425744658215075	Ê0.9491279274118877	Ê0.9038577282599902	Ê0.9508598224660066	Ê0.903242727598897
Ê 7.320176175846981	Ê0.9516985569584848	Ê0.9028672703653083	Ê0.9521768044150396	Ê0.9026454467112845
Ê 9.08668489970243	Ê0.9523930872594724	Ê0.9025330126844058	Ê0.9524988005819974	Ê0.9024701213219248
Ê10.0	Ê0.9524914825031724	Ê0.9024780421293763	Ê0.9525535420313361	Ê0.9024352268077248
				
				
				
				
