n nsol_av d
1 1 1
1 1.41426783479349 2
1 1.75220125786164 3
1 1.95869837296621 4
1 2.23558897243108 5
1 2.47684605757197 6
2 1 1
2 1.99249061326658 2
2 2.98247809762203 3
2 4.02503128911139 4
2 5.00750938673342 5
2 5.97496871088861 6
3 1 1
3 2.8936170212766 2
3 5.21777221526909 3
3 7.85481852315394 4
3 11.2478097622028 5
3 14.828535669587 6
4 1 1
4 3.85982478097622 2
4 8.88721804511278 3
4 15.9036295369212 4
4 25.0150187734668 5
4 36.1789737171464 6
5 1 1
5 5.66458072590738 2
5 15.8435544430538 3
5 31.918648310388 4
5 55.7669172932331 5
6 1 1
6 7.98122653316646 2
6 26.5012531328321 3
6 64.3003754693367 4
7 1 1
7 11.3041301627034 2
7 46.9348370927318 3
8 1 1
8 16.1727158948686 2
