n npos_av d
1 0.53441802252816 1
1 0.702127659574468 2
1 0.874213836477987 3
1 0.986232790988736 4
1 1.11654135338346 5
1 1.24780976220275 6
2 0.257822277847309 1
2 0.515644555694618 2
2 0.780976220275344 3
2 0.966207759699625 4
2 1.26408010012516 5
2 1.46182728410513 6
3 0.120150187734668 1
3 0.345431789737171 2
3 0.662077596996245 3
3 0.962453066332916 4
3 1.37171464330413 5
3 1.88235294117647 6
4 0.0675844806007509 1
4 0.229036295369212 2
4 0.5 3
4 1.00876095118899 4
4 1.5657071339174 5
4 2.25782227784731 6
5 0.0362953692115144 1
5 0.168961201501877 2
5 0.469336670838548 3
5 0.974968710888611 4
5 1.70050125313283 5
6 0.0187734668335419 1
6 0.121401752190238 2
6 0.43483709273183 3
6 1.0287859824781 4
7 0.00750938673341677 1
7 0.103879849812265 2
7 0.404761904761905 3
8 0.00375469336670839 1
8 0.0838548185231539 2
