pfeas n d
0.538461538461538 1 1
0.307692307692308 2 1
0.0769230769230769 3 1
0.0384615384615385 4 1
0.0769230769230769 5 1
0 6 1
0 7 1
0 8 1
0.769230769230769 1 2
0.384615384615385 2 2
0.153846153846154 3 2
0.230769230769231 4 2
0.115384615384615 5 2
0.0769230769230769 6 2
0.0384615384615385 7 2
0 8 2
0.692307692307692 1 3
0.653846153846154 2 3
0.423076923076923 3 3
0.384615384615385 4 3
0.346153846153846 5 3
0.192307692307692 6 3
0.384615384615385 7 3
0.28 8 3
0.68 1 4
0.56 2 4
0.48 3 4
0.56 4 4
0.64 5 4
0.6 6 4
0.56 7 4
0.8 1 5
0.84 2 5
0.8 3 5
0.8 4 5
0.84 5 5
0.8 6 5
0.88 1 6
0.88 2 6
0.72 3 6
0.84 4 6
0.92 5 6
