pfeas pfeas_exp1 d
0.5046 0.5 2
0.5964 0.624785772753518 3
0.679409385113269 0.698976256069072 4
0.7254 0.75 5
0.760402010050251 0.787735940169414 6
0.7946 0.816924548716944 7
0.249649929985997 0.25 2
0.4192 0.4375 3
0.55448717948718 0.578125 4
0.65 0.68359375 5
0.72658126501201 0.7626953125 6
0.7872 0.822021484375 7
0.13002600520104 0.125 2
0.287 0.314552804035939 3
0.468987595038015 0.500351021093173 4
0.6062 0.656391084194183 5
0.727927927927928 0.775285900846596 6
0.8062 0.859493658983952 7
0.0644 0.0625 2
0.2088 0.227523803710938 3
0.403846153846154 0.440575493281358 4
0.5794 0.643925869548207 5
0.738443065839504 0.800803405216736 6
0.8492 0.902058680567388 7
0.0368 0.03125 2
0.1494 0.164393741062626 3
0.333133012820513 0.390376196109501 4
0.556 0.637944710743683 5
0.746498599439776 0.830483699850808 6
0.013002600520104 0.015625 2
0.0996 0.118373564970167 3
0.29595514617541 0.346364641050548 4
0.5418 0.635013475756093 5
0.0058 0.0078125 2
0.0748 0.0849123477627673 3
0.259711653984782 0.307044232986332 4
0.004 0.00390625 2
0.0542 0.0607019041061836 3
