pfeas_exp2 n d
0.5 1 2
0.548927336388919 1 3
0.632054155150945 1 4
0.685090223678299 1 5
0.726078870407558 1 6
0.757763532467003 1 7
0.25 2 2
0.39839776705462 2 3
0.534174323902911 2 4
0.639751097013825 2 5
0.721489808330689 2 6
0.783106965089682 2 7
0.125 3 2
0.296953763426809 3 3
0.47553395383778 3 4
0.629104602846641 3 5
0.750212623423895 3 6
0.837788184017368 3 7
0.0625 4 2
0.219785723860023 4 3
0.427247377961547 4 4
0.627484999544012 4 5
0.785873499619284 4 6
0.891625267960537 4 7
0.03125 5 2
0.16100433289144 5 3
0.382900564894013 5 4
0.627775111981927 5 5
0.821581362284557 5 6
0.015625 6 2
0.116928889052707 6 3
0.34218757837698 6 4
0.62852874618944 6 5
0.0078125 7 2
0.084323844598452 7 3
0.304627696861501 7 4
0.00390625 8 2
0.060442770402018 8 3
