pfeas pfeas_jensen n d
0.475536480686695 0.5 1 1
0.243776824034335 0.25 2 1
0.13745704467354 0.125 3 1
0.0687285223367698 0.0625 4 1
0.0283505154639175 0.03125 5 1
0.0128865979381443 0.015625 6 1
0.00601374570446735 0.0078125 7 1
0.00257731958762887 0.00390625 8 1
0.598283261802575 0.624785772753518 1 2
0.405150214592275 0.4375 2 2
0.299828178694158 0.314552804035939 3 2
0.208762886597938 0.227523803710938 4 2
0.148625429553265 0.164393741062626 5 2
0.0902061855670103 0.118373564970167 6 2
0.0781786941580756 0.0849123477627673 7 2
0.0558419243986254 0.0607019041061836 8 2
0.692439862542955 0.698976256069072 1 3
0.564432989690722 0.578125 2 3
0.469072164948454 0.500351021093173 3 3
0.390893470790378 0.440575493281358 4 3
0.344501718213058 0.390376196109501 5 3
0.29639175257732 0.346364641050548 6 3
0.27233676975945 0.307044232986332 7 3
0.199312714776632 0.271688068348188 8 3
0.701890034364261 0.75 1 4
0.648625429553265 0.68359375 2 4
0.606529209621993 0.656391084194183 3 4
0.572164948453608 0.643925869548207 4 4
0.59106529209622 0.637944710743683 5 4
0.560137457044674 0.635013475756093 6 4
0.524054982817869 0.633562284077963 7 4
0.784364261168385 0.787735940169414 1 5
0.724226804123711 0.7626953125 2 5
0.695017182130584 0.775285900846596 3 5
0.743986254295533 0.800803405216736 4 5
0.739690721649485 0.830483699850808 5 5
0.780927835051546 0.860340033442023 6 5
0.790378006872852 0.816924548716944 1 6
0.79553264604811 0.822021484375 2 6
0.803264604810997 0.859493658983952 3 6
0.84192439862543 0.902058680567388 4 6
0.883920894239037 0.939168771258613 5 6
