n pfeas_min d
1 0.49999999571285 2
1 0.530367103310748 3
1 0.505250105945001 4
1 0.468851538794503 5
1 0.433376369473916 6
2 0.249999996708467 2
2 0.341818446205227 3
2 0.308359574970433 4
2 0.247612105349453 5
2 0.200556402590243 6
3 0.124999996992939 2
3 0.232128135368361 3
3 0.188005826087171 4
3 0.126915094207302 5
3 0.0902266435170471 6
4 0.0624999976579504 2
4 0.161077126352688 3
4 0.113104201666598 4
4 0.0641193335895538 5
4 0.0412742346318381 6
5 0 1
5 0 2
5 0 3
5 0 4
5 0 5
6 0 1
6 0 2
6 0 3
6 0 4
6 0 5
7 0 1
7 0 2
7 0 3
7 0 4
7 0 5
8 0 1
8 0 2
8 0 3
8 0 4
8 0 5
