pfeas n d
0.477142857142857 1 1
0.257142857142857 2 1
0.131522516082916 3 1
0.0700500357398142 4 1
0.0264474624731951 5 1
0.0121515368120086 6 1
0.00643316654753395 7 1
0.00285918513223731 8 1
0.600714285714286 1 2
0.405 2 2
0.300929235167977 3 2
0.210150107219442 4 2
0.1493924231594 5 2
0.0907791279485347 6 2
0.0750536097212294 7 2
0.0543245175125089 8 2
0.686919228020014 1 3
0.562544674767691 2 3
0.470335954253038 3 3
0.401000714796283 4 3
0.34024303073624 5 3
0.295210864903503 6 3
0.265189421015011 7 3
0.207290922087205 8 3
0.70192994996426 1 4
0.661901358112938 2 4
0.60614724803431 3 4
0.577555396711937 4 4
0.57398141529664 5 4
0.555396711937098 6 4
0.535382416011437 7 4
0.777698355968549 1 5
0.718370264474625 2 5
0.70264474624732 3 5
0.746247319513939 4 5
0.738384560400286 5 5
0.778969957081545 6 5
0.793991416309013 1 6
0.802575107296137 2 6
0.8068669527897 3 6
0.840486409155937 4 6
0.88555078683834 5 6
