pfeas n d
0.484095427435388 1 1
0.236580516898608 2 1
0.137313432835821 3 1
0.069790628115653 4 1
0.0319042871385842 5 1
0.0139581256231306 6 1
0.00598205383848455 7 1
0.00299102691924227 8 1
0.594433399602386 1 2
0.411530815109344 2 2
0.296517412935323 3 2
0.209371884346959 4 2
0.149551345962114 5 2
0.0907278165503489 6 2
0.0827517447657029 7 2
0.0558325024925224 8 2
0.683582089552239 1 3
0.561194029850746 2 3
0.465671641791045 3 3
0.384845463609172 4 3
0.3419740777667 5 3
0.293120638085743 6 3
0.262213359920239 7 3
0.200398803589232 8 3
0.703888334995015 1 4
0.647058823529412 2 4
0.600199401794616 3 4
0.577268195413759 4 4
0.59222333000997 5 4
0.564307078763709 6 4
0.521435692921236 7 4
0.518214936247723 8 4
0.786640079760718 1 5
0.724825523429711 2 5
0.699900299102692 3 5
0.747756729810568 4 5
0.745762711864407 5 5
0.791625124626122 6 5
0.785063752276867 7 5
0.795613160518445 1 6
0.804586241276172 2 6
0.800598205383848 3 6
0.847457627118644 4 6
0.884346959122632 5 6
0.918943533697632 6 6
