pf n d
0.707106781186548 1 1
0.866025403784439 1 2
1 1 3
1 1 4
1 1 5
1 1 6
0.353553390593274 2 1
0.559016994374948 2 2
0.790569415042095 2 3
1 2 4
1 2 5
1 2 6
0.176776695296637 3 1
0.375 3 2
0.661437827766148 3 3
1 3 4
1 3 5
1 3 6
0.0883883476483185 4 1
0.257694101601104 4 2
0.565961571133589 4 3
1 4 4
1 4 5
1 4 6
0.0441941738241592 5 1
0.179517582704313 5 2
0.488140604744166 5 3
1 5 4
1 5 5
1 5 6
0.0220970869120796 6 1
0.125972777317165 6 2
0.422164252690822 6 3
1 6 4
1 6 5
1 6 6
0.0110485434560398 7 1
0.0887329429031293 7 2
0.365437986360203 7 3
1 7 4
1 7 5
1 7 6
0.00552427172801995 8 1
0.0626219513354742 8 2
0.316430361735604 8 3
1 8 4
1 8 5
1 8 6
