"n" "d" "var_real"
1 2 0
1 3 0.841596
1 4 0.925439190781412
1 5 1.08080956
1 6 1.20916477866721
1 7 1.34519296
2 2 0
2 3 1.6799
2 4 2.51759674453485
2 5 3.34854524
2 6 4.19617231014596
2 7 5.28382576
3 2 0
3 3 2.87990544
3 4 5.57119926802254
3 5 8.90730556
3 6 12.5153794912716
3 7 17.32752796
4 2 0
4 3 4.80994464
4 4 11.3285230728139
4 5 22.1705440000001
4 6 35.9887803003996
4 7 51.1507974400001
5 2 0
5 3 8.04822919
5 4 24.7398066072382
5 5 55.7323132399999
5 6 104.200725027906
6 2 0
6 3 13.21433536
6 4 51.1400475925536
6 5 143.27635824
7 2 0
7 3 20.90894016
7 4 113.379279003447
8 2 0
8 3 36.0189589999999
