"n" "d" "pfeas" "var_real"
1 2 0.5046 0
1 3 0.5964 0.841596
1 4 0.679409385113269 0.925439190781412
1 5 0.7254 1.08080956
1 6 0.760402010050251 1.20916477866721
1 7 0.7946 1.34519296
2 2 0.249649929985997 0
2 3 0.4192 1.6799
2 4 0.55448717948718 2.51759674453485
2 5 0.65 3.34854524
2 6 0.72658126501201 4.19617231014596
2 7 0.7872 5.28382576
3 2 0.13002600520104 0
3 3 0.287 2.92265584
3 4 0.468987595038015 5.57119926802254
3 5 0.6062 8.90730556
3 6 0.727927927927928 12.484405927449
3 7 0.8062 17.32752796
4 2 0.0644 0
4 3 0.2088 4.798431
4 4 0.403846153846154 11.3285230728139
4 5 0.5794 22.1705440000001
4 6 0.738443065839504 35.9887803003996
4 7 0.8492 51.1507974400001
5 2 0.0368 0
5 3 0.1494 8.09092096
5 4 0.333133012820513 24.7398066072382
5 5 0.556 55.7323132399999
5 6 0.746498599439776 104.200725027906
6 2 0.013002600520104 0
6 3 0.0996 13.21433536
6 4 0.29595514617541 51.1400475925536
6 5 0.5418 143.27635824
7 2 0.0058 0
7 3 0.0748 20.90894016
7 4 0.259711653984782 113.379279003447
8 2 0.004 0
8 3 0.0542 36.0189589999999
